,word,frequency,decade,count,freq_entropy
1553612,beulah,2.579014558537183e-07,1920,18.0,1.0677546475937296
2640323,ahab,4.888999344059255e-07,1960,18.0,1.0716477278225944
1146479,ahab,4.308821324942737e-07,1900,18.0,1.0716477278225944
478596,ahab,2.240152903876607e-07,1860,18.0,1.0716477278225944
959348,ahab,7.439661093678539e-07,1890,18.0,1.0716477278225944
637900,ahab,2.53858110172592e-07,1870,18.0,1.0716477278225944
1393094,ahab,8.294898575164536e-08,1910,18.0,1.0716477278225944
47057,ahab,2.1384946138449e-07,1830,18.0,1.0716477278225944
2361048,ahab,2.373077999632885e-07,1950,18.0,1.0716477278225944
3838411,ahab,5.970288638631846e-07,2000,18.0,1.0716477278225944
3552950,ahab,2.7142317689293066e-07,1990,18.0,1.0716477278225944
162030,ahab,6.54244234011743e-07,1840,18.0,1.0716477278225944
281790,ahab,2.73007396603765e-05,1850,18.0,1.0716477278225944
1774886,ahab,1.3167497480893138e-06,1930,18.0,1.0716477278225944
2095566,ahab,1.6371761445590517e-07,1940,18.0,1.0716477278225944
3227917,ahab,6.635459191340491e-07,1980,18.0,1.0716477278225944
1565006,ahab,1.842153256097988e-07,1920,18.0,1.0716477278225944
2928382,ahab,5.785551189255173e-07,1970,18.0,1.0716477278225944
806710,ahab,2.332186581643229e-07,1880,18.0,1.0716477278225944
796766,hur,3.731498530629167e-07,1880,18.0,1.0759849419256298
1553193,hur,2.579014558537183e-07,1920,18.0,1.0759849419256298
970318,hur,3.71983054683927e-07,1890,18.0,1.0759849419256298
57315,hur,1.4256630758965998e-07,1830,18.0,1.0759849419256298
2306020,hur,2.0764432496787746e-05,1950,18.0,1.0759849419256298
658178,hur,1.0154324406903681e-07,1870,18.0,1.0759849419256298
374200,hur,5.747524139026631e-08,1850,18.0,1.0759849419256298
2640288,hur,4.888999344059255e-07,1960,18.0,1.0759849419256298
3269841,hur,1.5612845156095273e-07,1980,18.0,1.0759849419256298
444523,hur,1.7921223231012856e-06,1860,18.0,1.0759849419256298
3560410,hur,2.0356738266969802e-07,1990,18.0,1.0759849419256298
1359073,hur,2.4884695725493604e-07,1910,18.0,1.0759849419256298
1145823,hur,4.308821324942737e-07,1900,18.0,1.0759849419256298
176368,hur,2.379069941860884e-07,1840,18.0,1.0759849419256298
1808221,hur,2.057421481389553e-07,1930,18.0,1.0759849419256298
3869798,hur,1.8853543069363725e-07,2000,18.0,1.0759849419256298
2946171,hur,2.479521938252217e-07,1970,18.0,1.0759849419256298
2072436,hur,4.0929403613976293e-07,1940,18.0,1.0759849419256298
2911635,shuffles,1.5703638942264042e-06,1970,18.0,1.1369279395592637
3228265,shuffles,6.635459191340491e-07,1980,18.0,1.1369279395592637
2630881,shuffles,8.148332240098758e-07,1960,18.0,1.1369279395592637
370479,shuffles,5.747524139026631e-08,1850,18.0,1.1369279395592637
2059850,shuffles,7.776586686655495e-07,1940,18.0,1.1369279395592637
1539879,shuffles,5.158029117074366e-07,1920,18.0,1.1369279395592637
3520931,shuffles,1.2553321931298045e-06,1990,18.0,1.1369279395592637
2347189,shuffles,3.955129999388142e-07,1950,18.0,1.1369279395592637
