,word,frequency,decade,count,freq_entropy
3367766,talleyrand,2.732247902316673e-07,1980,20.0,0.8144338080484458
3042900,talleyrand,7.025312158381282e-07,1970,20.0,0.8144338080484458
571757,talleyrand,8.400573389537276e-07,1860,20.0,0.8144338080484458
2208248,talleyrand,2.046470180698815e-07,1940,20.0,0.8144338080484458
283698,talleyrand,5.352907369186988e-07,1840,20.0,0.8144338080484458
1900344,talleyrand,8.229685925558211e-07,1930,20.0,0.8144338080484458
4019061,talleyrand,9.426771534681865e-08,2000,20.0,0.8144338080484458
906382,talleyrand,6.53012242860104e-07,1880,20.0,0.8144338080484458
1008,flinty,9.045063187446135e-05,1810,20.0,0.8447414787875893
2755998,flinty,5.70383256806913e-07,1960,20.0,0.8447414787875893
2188337,flinty,4.502234397537393e-07,1940,20.0,0.8447414787875893
734731,flinty,1.116975684759405e-06,1870,20.0,0.8447414787875893
3652869,flinty,6.107021480090941e-07,1990,20.0,0.8447414787875893
912176,flinty,4.197935846957812e-07,1880,20.0,0.8447414787875893
1459682,flinty,7.050663788889855e-07,1910,20.0,0.8447414787875893
419644,flinty,1.2069800691955929e-06,1850,20.0,0.8447414787875893
3344347,flinty,7.416101449145256e-07,1980,20.0,0.8447414787875893
1923467,flinty,2.468905777667464e-07,1930,20.0,0.8447414787875893
50605,flinty,1.5651846028521932e-06,1820,20.0,0.8447414787875893
2464570,flinty,4.350642999326956e-07,1950,20.0,0.8447414787875893
567779,flinty,1.1760802745352186e-06,1860,20.0,0.8447414787875893
1262528,flinty,4.739703457437011e-07,1900,20.0,0.8447414787875893
3953177,flinty,7.227191509922761e-07,2000,20.0,0.8447414787875893
3040432,flinty,8.265073127507391e-07,1970,20.0,0.8447414787875893
138526,flinty,1.4969462296914295e-06,1830,20.0,0.8447414787875893
1072409,flinty,1.1159491640517808e-06,1890,20.0,0.8447414787875893
1654580,flinty,6.631751721952756e-07,1920,20.0,0.8447414787875893
273001,flinty,1.308488468023486e-06,1840,20.0,0.8447414787875893
1280609,adolphus,2.1544106624713685e-07,1900,20.0,0.8514336415859295
3358909,adolphus,3.9032112890238187e-07,1980,20.0,0.8514336415859295
1674381,adolphus,2.579014558537183e-07,1920,20.0,0.8514336415859295
257844,adolphus,1.0705814738373975e-05,1840,20.0,0.8514336415859295
892718,adolphus,2.052324191846041e-06,1880,20.0,0.8514336415859295
728332,adolphus,2.0816365034152546e-06,1870,20.0,0.8514336415859295
1100659,adolphus,1.859915273419635e-07,1890,20.0,0.8514336415859295
2457617,adolphus,6.328207999021026e-07,1950,20.0,0.8514336415859295
62249,adolphus,4.268685280505982e-07,1820,20.0,0.8514336415859295
3993448,adolphus,1.5711285891136438e-07,2000,20.0,0.8514336415859295
1917160,adolphus,3.2918743702232844e-07,1930,20.0,0.8514336415859295
2770889,adolphus,2.851916284034565e-07,1960,20.0,0.8514336415859295
410376,adolphus,3.448514483415979e-06,1850,20.0,0.8514336415859295
3681868,adolphus,2.0356738266969802e-07,1990,20.0,0.8514336415859295
149403,adolphus,5.702652303586398e-07,1830,20.0,0.8514336415859295
576608,adolphus,5.600382259691518e-07,1860,20.0,0.8514336415859295
3075899,adolphus,1.653014625501478e-07,1970,20.0,0.8514336415859295
2198565,adolphus,2.865058252978341e-07,1940,20.0,0.8514336415859295
888,adolphus,0.0001006903260489,1810,20.0,0.8514336415859295
1473136,adolphus,3.317959430065814e-07,1910,20.0,0.8514336415859295
1883309,baroness,3.3741712294788662e-06,1930,20.0,0.872623139323202
144118,baroness,8.553978455379597e-07,1830,20.0,0.872623139323202
2453404,baroness,7.910259998776283e-07,1950,20.0,0.872623139323202
716552,baroness,1.2845220374733158e-05,1870,20.0,0.872623139323202
2747018,baroness,9.77799868811851e-07,1960,20.0,0.872623139323202
3058484,baroness,3.306029251002956e-07,1970,20.0,0.872623139323202
3645930,baroness,8.821253249020247e-07,1990,20.0,0.872623139323202
1443211,baroness,2.9861634870592323e-06,1910,20.0,0.872623139323202
887399,baroness,3.824785993894895e-06,1880,20.0,0.872623139323202
421603,baroness,1.0345543450247936e-06,1850,20.0,0.872623139323202
3339810,baroness,9.758028222559546e-07,1980,20.0,0.872623139323202
390,baroness,0.000226979887534,1810,20.0,0.872623139323202
1073732,baroness,1.022953400380799e-06,1890,20.0,0.872623139323202
1250448,baroness,1.1202935444851116e-06,1900,20.0,0.872623139323202
3948220,baroness,9.426771534681864e-07,2000,20.0,0.872623139323202
2185991,baroness,4.911528433677155e-07,1940,20.0,0.872623139323202
269729,baroness,1.9032559534887067e-06,1840,20.0,0.872623139323202
569083,baroness,1.0640726293413884e-06,1860,20.0,0.872623139323202
1643139,baroness,1.5474087351223097e-06,1920,20.0,0.872623139323202
38825,baroness,1.0814002710615153e-05,1820,20.0,0.872623139323202
3940091,moreau,1.602551160895917e-06,2000,20.0,0.9048036614569991
1916449,moreau,3.2918743702232844e-07,1930,20.0,0.9048036614569991
292031,moreau,2.9738374273261044e-07,1840,20.0,0.9048036614569991
1610,moreau,5.802493365531483e-05,1810,20.0,0.9048036614569991
565063,moreau,1.5121032101167098e-06,1860,20.0,0.9048036614569991
2471627,moreau,3.164103999510513e-07,1950,20.0,0.9048036614569991
1659583,moreau,5.158029117074366e-07,1920,20.0,0.9048036614569991
932539,moreau,1.3993119489859372e-07,1880,20.0,0.9048036614569991
3372778,moreau,2.341926773414291e-07,1980,20.0,0.9048036614569991
1077871,moreau,7.439661093678539e-07,1890,20.0,0.9048036614569991
78465,moreau,1.4228950935019937e-07,1820,20.0,0.9048036614569991
1243225,moreau,2.068234235972514e-06,1900,20.0,0.9048036614569991
2745218,moreau,1.1000248524133324e-06,1960,20.0,0.9048036614569991
2243998,moreau,8.18588072279526e-08,1940,20.0,0.9048036614569991
466938,moreau,1.1495048278053262e-07,1850,20.0,0.9048036614569991
774999,moreau,1.0154324406903681e-07,1870,20.0,0.9048036614569991
3035370,moreau,1.1157848722134978e-06,1970,20.0,0.9048036614569991
146883,moreau,7.128315379482998e-07,1830,20.0,0.9048036614569991
3649081,moreau,7.464137364555593e-07,1990,20.0,0.9048036614569991
1478796,moreau,2.4884695725493604e-07,1910,20.0,0.9048036614569991
1066963,lodger,1.813417391584144e-06,1890,20.0,0.9771403979648844
143991,lodger,8.553978455379597e-07,1830,20.0,0.9771403979648844
3989796,lodger,1.8853543069363725e-07,2000,20.0,0.9771403979648844
1158,lodger,7.935762985212174e-05,1810,20.0,0.9771403979648844
729215,lodger,1.9293216373117e-06,1870,20.0,0.9771403979648844
1454356,lodger,1.0368623218955669e-06,1910,20.0,0.9771403979648844
3663926,lodger,3.732068682277797e-07,1990,20.0,0.9771403979648844
3345948,lodger,7.025780320242874e-07,1980,20.0,0.9771403979648844
568162,lodger,1.1200764519383036e-06,1860,20.0,0.9771403979648844
1254462,lodger,8.1867605173912e-07,1900,20.0,0.9771403979648844
2211885,lodger,1.6371761445590517e-07,1940,20.0,0.9771403979648844
1639509,lodger,2.1368977770736657e-06,1920,20.0,0.9771403979648844
416079,lodger,1.7242572417079897e-06,1850,20.0,0.9771403979648844
3053003,lodger,4.1325365637536953e-07,1970,20.0,0.9771403979648844
2765260,lodger,3.666749508044441e-07,1960,20.0,0.9771403979648844
278899,lodger,7.731977311047872e-07,1840,20.0,0.9771403979648844
1903474,lodger,6.583748740446569e-07,1930,20.0,0.9771403979648844
