word,delta_freq,first_use
shall,0.05104373667060856,1830
upon,0.06618834724044684,1830
gentleman,0.07417943660227194,1830
persons,0.07834735778137819,1830
till,0.08201383280210275,1830
scarcely,0.08237670394340973,1830
constitution,0.08459388231041665,1830
peculiar,0.09405110364422756,1830
noble,0.09595248692765639,1830
gentlemen,0.09754620779645842,1830
principles,0.10252665386796192,1830
latter,0.10557803496400946,1830
distinguished,0.10923666227416048,1830
manner,0.11299493777899246,1830
principle,0.11630156795626721,1830
regard,0.11646654276082699,1830
sufficient,0.11664909713722434,1830
character,0.11912685593176167,1830
liberty,0.11979890148020818,1830
possession,0.12081809065048758,1830
worthy,0.12582158270370394,1830
towards,0.12689680617270732,1830
object,0.13203609921570456,1830
heaven,0.1340359546074252,1830
thus,0.13412972481558885,1830
duties,0.1341735164903105,1830
resolved,0.13425152958844108,1830
occasion,0.13733357449531375,1830
therefore,0.13824641483560188,1830
spirit,0.13833489485400224,1830
portion,0.13883887672506703,1830
obtained,0.13922454027147319,1830
affection,0.14206694453100613,1830
opinions,0.14549179186255715,1830
happiness,0.14573410765665162,1830
glorious,0.14580096159754094,1830
manners,0.1459392047167528,1830
prisoner,0.14718189394349887,1830
powers,0.14772252581327067,1830
hence,0.15099437654053563,1830
conduct,0.15301617389429065,1830
circumstances,0.15523315545713534,1830
glory,0.16259761945321197,1830
employed,0.16271201740306238,1830
mode,0.16339484605511237,1830
consideration,0.16504189682134995,1830
opinion,0.16674047557920432,1830
purpose,0.1669983989686396,1830
vessel,0.16880438594803454,1830
contrary,0.16964125419805254,1830
conscience,0.1724466345481954,1830
permitted,0.17601747115885824,1830
subject,0.17772892602465096,1830
nor,0.1780658668764238,1830
length,0.17907557423177636,1830
moral,0.18004104222975656,1830
;,0.18078495564094613,1830
sir,0.18083656517415972,1830
considerable,0.1808383876852874,1830
brow,0.1811662530776618,1830
fatal,0.18164455993095882,1830
extent,0.18220655017337462,1830
duty,0.18259427780130355,1830
divine,0.18511628371777739,1830
appointed,0.18550898664080878,1830
mighty,0.1859007728790884,1830
ambition,0.18678535322115336,1830
whom,0.1880207092227888,1830
forth,0.1887525606646955,1830
province,0.18932675996465756,1830
spirits,0.189440483861983,1830
succeeded,0.1904926672894299,1830
qualities,0.19100116951662224,1830
execution,0.19101915456083285,1830
butler,0.19196013561778277,1830
feelings,0.19257833348425465,1830
reply,0.19315819072973758,1830
indians,0.19350668443552654,1830
purposes,0.1945898461267225,1830
servant,0.19528263509307944,1830
replied,0.19636234769544883,1830
difficulty,0.19723271818105953,1830
genius,0.19788087310274954,1830
colony,0.19962394945992742,1830
hearts,0.20010178895302697,1830
nature,0.20031255758734243,1830
present,0.20042366880171164,1830
greatly,0.20116122385784174,1830
laws,0.20148121604231517,1830
seldom,0.20345235397011774,1830
soul,0.20466768722913045,1830
companion,0.2057129356808969,1830
triumph,0.20593143056744057,1830
rude,0.20659205079064435,1830
faithful,0.20719288485845733,1830
which,0.20772356846276815,1830
mistress,0.20911123459959768,1830
mercy,0.21204893230688338,1830
parliament,0.2124402089647817,1830
influence,0.21277964821115886,1830
despair,0.21342298052716627,1830
assembly,0.21412987783592138,1830
calculated,0.21575958722985636,1830
ruin,0.21665142542689483,1830
ought,0.21674404408778142,1830
sum,0.21778629348364442,1830
brave,0.21787745939504835,1830
habits,0.21854412482799512,1830
governor,0.21961429409037955,1830
grave,0.2197016409315141,1830
equal,0.219840118557327,1830
dear,0.2204705103514435,1830
england,0.22066450243466307,1830
mere,0.2209163277069592,1830
superior,0.2222403833300871,1830
altogether,0.2226375540155456,1830
observation,0.2233986631828745,1830
sympathy,0.22340359428527562,1830
improvement,0.2245469534701503,1830
dare,0.22495788794434365,1830
possessed,0.22554383228688796,1830
distinction,0.2259087934318219,1830
appearance,0.22683401002317022,1830
evident,0.22774297510258487,1830
counsel,0.22823537067640495,1830
mr.,0.22827153437172729,1830
testimony,0.22852538167630332,1830
description,0.22869848304981602,1830
bearing,0.23145005960518447,1830
delight,0.2317281547131415,1830
occupied,0.23286715213447223,1830
observed,0.23305761253590476,1830
composed,0.2334050616379407,1830
reader,0.2337322097557083,1830
judgment,0.23374761781789893,1830
temper,0.23410062524125738,1830
weary,0.23541893899793045,1830
i.,0.23542885057175272,1830
representatives,0.23683647206179212,1830
enterprise,0.2379559695556934,1830
yield,0.23797760191656203,1830
pray,0.23863007458694122,1830
crown,0.23911618965570092,1830
expense,0.24039103146491148,1830
misery,0.24139783268676682,1830
stern,0.24180542716998635,1830
cried,0.24199845142459234,1830
rank,0.2427668185054063,1830
sacred,0.24342107277214564,1830
slaves,0.2435578920072105,1830
occasions,0.24372844093340246,1830
pity,0.2439880345756715,1830
observe,0.2446095041509933,1830
h.,0.2456297314509105,1830
engaged,0.24626448804599935,1830
unhappy,0.24668732691236334,1830
adopted,0.2476654980307618,1830
subjects,0.24812453118653638,1830
dread,0.24848645559061225,1830
suspicion,0.24851227129235867,1830
fate,0.2500312755107841,1830
abroad,0.25005533606606484,1830
existence,0.2510891333160457,1830
origin,0.25148513553950813,1830
entitled,0.2517126923580559,1830
intellectual,0.25183272266468176,1830
indeed,0.2529919226429522,1830
departure,0.2534340229882609,1830
establishment,0.25387822393692355,1830
residence,0.2546237036050262,1830
evil,0.2546614498673959,1830
stranger,0.2550860953186536,1830
examination,0.25517005262160036,1830
carriage,0.2553263499568202,1830
midst,0.2560309298975683,1830
captain,0.2572661167195506,1830
dignity,0.2576546117622416,1830
praise,0.2584666395475187,1830
pursuit,0.25852216406729256,1830
difficulties,0.25865912219616904,1830
bold,0.2587069003762099,1830
constitutional,0.2596249938118081,1830
conviction,0.2598555380346305,1830
accustomed,0.26015219032244574,1830
danger,0.26062861765195755,1830
poetry,0.2622736127710022,1830
bore,0.2636592687466255,1830
worship,0.26368900257758476,1830
proper,0.2638201610194505,1830
juan,0.26389834319312383,1830
fortune,0.26400530759880514,1830
formed,0.26429723183501047,1830
depend,0.265078764929799,1830
reward,0.265245905605741,1830
youth,0.26562320205034295,1830
seized,0.26598657608274606,1830
fancy,0.26608795609972746,1830
stated,0.26666491662338493,1830
intention,0.2669201342775776,1830
concerning,0.2677233881141948,1830
regarded,0.26802545191227967,1830
bound,0.2683078271609227,1830
account,0.26911949586131695,1830
addressed,0.26938598720117457,1830
treaty,0.2702246733381644,1830
generally,0.2708886299231649,1830
minds,0.27113241175353225,1830
banks,0.27203914677210234,1830
revenge,0.2721070577789641,1830
sacrifice,0.2727718025375651,1830
rome,0.27309804787748776,1830
pleasure,0.2737839813898493,1830
principal,0.2737852162153029,1830
accomplished,0.2740683246053215,1830
sin,0.2741644526060734,1830
satisfied,0.27441943000910163,1830
extensive,0.2744363788961382,1830
nt,0.2747671178056823,1830
skill,0.2764019367449889,1830
condition,0.27640842342916355,1830
permit,0.27829835444171963,1830
assembled,0.27848946416037645,1830
poet,0.2785577810792068,1830
distinct,0.2787496712482742,1830
volume,0.27882996708428753,1830
rivers,0.2806741784262238,1830
confidence,0.2810944235547619,1830
necessary,0.28127303915981033,1830
equally,0.28145986318888333,1830
lord,0.28297981013012935,1830
resolution,0.283843723644611,1830
anxious,0.284289305306908,1830
thrown,0.28719173076926396,1830
expressed,0.28742969648619837,1830
general,0.28781811546126723,1830
desired,0.2894453366364379,1830
inclined,0.28965153747970235,1830
fair,0.2901342689944689,1830
lady,0.2902969078018854,1830
universal,0.29069587477848835,1830
philosophy,0.2907301646691575,1830
tendency,0.2909528087969286,1830
degree,0.2922223136959279,1830
slavery,0.2923289085991693,1830
miserable,0.2925213568602615,1830
aspect,0.292555256960454,1830
negro,0.2929685988753515,1830
destiny,0.29300616789713546,1830
joy,0.2930078794218063,1830
importance,0.2934671781729601,1830
wisdom,0.2937379112380192,1830
ladies,0.294840203218791,1830
striking,0.29521446350561514,1830
numerous,0.29560430253305353,1830
somewhat,0.2956991484712771,1830
wishes,0.296231768061933,1830
emperor,0.29700195880980557,1830
warriors,0.2982198707324307,1830
receive,0.29853210233391786,1830
utterly,0.29878172628110233,1830
wealth,0.29903921240527637,1830
tender,0.2991734862197562,1830
objects,0.2996197234696553,1830
suppose,0.2998814791862341,1830
senses,0.30005524997514005,1830
beg,0.30012829521832984,1830
bacon,0.30071685652600755,1830
perceived,0.3008368247244871,1830
